local_file,source_url,sha256,research_design,rag_cards
management/nber_does_management_matter_india_w16658.pdf,https://www.nber.org/papers/w16658,d6de4ae5190adc0adcb7764a9666e6637181739bd95e23aeecc1de4c6f4bc08f,randomized_field_experiment,BK081
management/nber_hybrid_work_w30292.pdf,https://www.nber.org/papers/w30292,4686ddb2a3e49ae93fc9e9e85a98dd46f92ef3575356d41236f7fc2255a48652,randomized_field_experiment,BK082
management/nber_employee_recognition_india_w35138.pdf,https://www.nber.org/papers/w35138,12c4ade7c517810bc3b1e4db3221ec09972fa8fc8fe397a313db9ab432b5f801,randomized_field_experiment,BK083
management/nber_manager_worker_matching_w27006.pdf,https://www.nber.org/papers/w27006,64f265ae794644181103e3e9b1cdd16a0526320073fcd7f977e423449f0b3f3b,administrative_data_and_structural_analysis,BK084
management/springer_information_overload_2019.pdf,https://link.springer.com/article/10.1007/s40685-018-0069-z,6bf04528c68aeb106825ecf981a43de550561aa6c77e7ef0916cb09e87df2cab,peer_reviewed_literature_review,BK085
sales/harvard_quota_frequency_sales.pdf,https://pubsonline.informs.org/doi/10.1287/mnsc.2020.3648,264a9c5ab706c95c53224288500fc69eeaafcb16ee8c6a641fcb58a507d82953,randomized_field_experiment,BK086
sales/harvard_incentives_reciprocity_sales.pdf,https://dash.harvard.edu/bitstreams/7312037e-73ce-6bd4-e053-0100007fdf3b/download,029f4a6e1fa93c63c57036bf819062fffdac110b6f6391ff93ff73bdeb811c13,field_experiment,BK087
management/hbs_jagged_ai_frontier.pdf,https://doi.org/10.1287/orsc.2025.21838,433c4d57cb9a4e60869594b1b8e701d71b57d092abb053ce88be42ae1aed00ce,preregistered_randomized_field_experiment,BK088
marketing/nber_digital_advertising_w30925.pdf,https://www.nber.org/papers/w30925,9de6a9f713d5692ebb995bd5875a7961d8e8319652d1e75fa47f92a16a996863,large_scale_randomized_field_experiment,BK089
marketing/nber_online_listings_w30810.pdf,https://www.nber.org/papers/w30810,46c983968e16ea3a909271f8792490948b8979ecd4447dd98bca49bfc16dce60,natural_experiment_and_administrative_data,BK090
marketing/hbs_tradeoff_transparency.pdf,https://www.hbs.edu/ris/Publication%20Files/20-013_Jan_2021_revision_5e19ba8f-9ced-4fdc-b69f-fc3e19fdbd23.pdf,ca0ce3d8bdd4289f5867c137a83fc0f8cf6d96ac4ab67c9ef89d3154e12c7124,large_scale_randomized_field_experiment,BK091
marketing/hbs_operational_transparency.pdf,https://www.hbs.edu/ris/Publication%20Files/14-115_aee7737a-a405-46f1-85e9-67882dd95435.pdf,628ce0c04467727339a142c0e55080280dcc4341c75b1d3cecf75162fbeb6d03,multi_study_field_and_laboratory_experiments,BK092
marketing/nber_promotional_reviews_w18340.pdf,https://www.nber.org/papers/w18340,1b1ca6487a1cb71d324d8a84391e8d3e41791359fc4c48907978b66eeecc1242,empirical_platform_comparison,BK093
